epoch,loss,acc,val_loss,val_acc,epoch_time_s,session
1,0.8220847249031067,0.5024305582046509,0.6926717162132263,0.5145630836486816,50.654047999999875,1
2,0.7052670121192932,0.4885416626930237,0.6969738602638245,0.4812760055065155,21.66970409800024,1
3,0.6996306777000427,0.5135416388511658,0.697310745716095,0.4812760055065155,20.94851233600002,1
4,0.6999189257621765,0.5107638835906982,0.6928307414054871,0.5187239646911621,20.48499634100017,1
5,0.7053337693214417,0.5086805820465088,0.6954062581062317,0.4812760055065155,20.683293609999964,1
6,0.6973434090614319,0.5222222208976746,0.6924844980239868,0.5187239646911621,21.001781647999906,1
7,0.6971763372421265,0.5069444179534912,0.6944108009338379,0.4812760055065155,20.976208875999873,1
8,0.7001713514328003,0.5010416507720947,0.692777693271637,0.5187239646911621,20.848895046000052,1
9,0.6960360407829285,0.512499988079071,0.6932026743888855,0.4812760055065155,20.807274361000054,1
10,0.6979501247406006,0.5131944417953491,0.6947911381721497,0.4812760055065155,20.83162284800028,1
11,0.6992486119270325,0.5131944417953491,0.7045208215713501,0.4812760055065155,20.856946375999996,1
12,0.6961851119995117,0.5145833492279053,0.6938657164573669,0.4812760055065155,20.943007772999863,1
13,0.696234405040741,0.5107638835906982,0.6962469220161438,0.5187239646911621,20.85381318399959,1
14,0.6942096948623657,0.5059027671813965,0.6976625323295593,0.4812760055065155,20.762550982999983,1
15,0.69654381275177,0.5041666626930237,0.6929773688316345,0.5187239646911621,20.815351918000033,1
16,0.6961576342582703,0.48819443583488464,0.6942808032035828,0.4812760055065155,20.794527844000186,1
